sialan	-2.5	0.5	[-3, -2, -3, -2, -3, -2, -3, -2, -3, -2]
brengsek	-3.0	0.5	[-3, -3, -3, -3, -3, -3, -3, -3, -3, -3]
bangsat	-3.0	0.5	[-3, -3, -3, -3, -3, -3, -3, -3, -3, -3]
keparat	-2.5	0.5	[-3, -2, -3, -2, -3, -2, -3, -2, -3, -2]
tai	-2.5	0.5	[-3, -2, -3, -2, -3, -2, -3, -2, -3, -2]
sial	-2.0	0.5	[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2]
celaka	-2.5	0.5	[-3, -2, -3, -2, -3, -2, -3, -2, -3, -2]
bego	-2.0	0.5	[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2]
goblok	-2.5	0.5	[-3, -2, -3, -2, -3, -2, -3, -2, -3, -2]
kampungan	-2.0	0.5	[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2]
norak	-2.0	0.5	[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2]
terima kasih	2.0	0.5	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
terimakasih	2.0	0.5	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
makasih	2.0	0.5	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
thanks	2.0	0.5	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
maaf	-1.0	0.5	[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
menyesal	-2.0	0.5	[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2]
salah	-1.5	0.5	[-2, -1, -2, -1, -2, -1, -2, -1, -2, -1]
benar	1.5	0.5	[2, 1, 2, 1, 2, 1, 2, 1, 2, 1]
betul	1.5	0.5	[2, 1, 2, 1, 2, 1, 2, 1, 2, 1]
tepat	1.5	0.5	[2, 1, 2, 1, 2, 1, 2, 1, 2, 1]
akurat	1.5	0.5	[2, 1, 2, 1, 2, 1, 2, 1, 2, 1]
lezat	2.0	0.5	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
enak	2.0	0.5	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
nikmat	2.5	0.5	[3, 2, 3, 2, 3, 2, 3, 2, 3, 2]
menyenangkan	2.5	0.5	[3, 2, 3, 2, 3, 2, 3, 2, 3, 2]
menggembirakan	2.5	0.5	[3, 2, 3, 2, 3, 2, 3, 2, 3, 2]
membahagiakan	3.0	0.5	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
menarik	2.0	0.5	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
mengagumkan	2.5	0.5	[3, 2, 3, 2, 3, 2, 3, 2, 3, 2]
menakjubkan	2.5	0.5	[3, 2, 3, 2, 3, 2, 3, 2, 3, 2]
fantastis	2.5	0.5	[3, 2, 3, 2, 3, 2, 3, 2, 3, 2]
wow	2.5	0.5	[3, 2, 3, 2, 3, 2, 3, 2, 3, 2]
wah	2.0	0.5	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
asyik	2.0	0.5	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
asoy	2.0	0.5	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
membosankan	-2.0	0.5	[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2]
menjengkelkan	-2.5	0.5	[-3, -2, -3, -2, -3, -2, -3, -2, -3, -2]
menyebalkan	-2.5	0.5	[-3, -2, -3, -2, -3, -2, -3, -2, -3, -2]
mengganggu	-2.0	0.5	[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2]
menyedihkan	-2.5	0.5	[-3, -2, -3, -2, -3, -2, -3, -2, -3, -2]
mengecewakan	-2.5	0.5	[-3, -2, -3, -2, -3, -2, -3, -2, -3, -2]
mengerikan	-2.5	0.5	[-3, -2, -3, -2, -3, -2, -3, -2, -3, -2]
menakutkan	-2.5	0.5	[-3, -2, -3, -2, -3, -2, -3, -2, -3, -2]
menyeramkan	-2.5	0.5	[-3, -2, -3, -2, -3, -2, -3, -2, -3, -2]
busuk	-2.5	0.5	[-3, -2, -3, -2, -3, -2, -3, -2, -3, -2]
bau	-2.0	0.5	[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2]
kotor	-2.0	0.5	[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2]
jorok	-2.5	0.5	[-3, -2, -3, -2, -3, -2, -3, -2, -3, -2]
najis	-3.0	0.5	[-3, -3, -3, -3, -3, -3, -3, -3, -3, -3]
payah	-2.0	0.5	[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2]
lemah	-1.5	0.5	[-2, -1, -2, -1, -2, -1, -2, -1, -2, -1]
kuat	2.0	0.5	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
tangguh	2.0	0.5	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
perkasa	2.0	0.5	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
dahsyat	2.5	0.5	[3, 2, 3, 2, 3, 2, 3, 2, 3, 2]
luar	1.5	0.5	[2, 1, 2, 1, 2, 1, 2, 1, 2, 1]
biasa	0.0	0.5	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
istimewa	2.5	0.5	[3, 2, 3, 2, 3, 2, 3, 2, 3, 2]
spesial	2.5	0.5	[3, 2, 3, 2, 3, 2, 3, 2, 3, 2]
khusus	1.5	0.5	[2, 1, 2, 1, 2, 1, 2, 1, 2, 1]
